192.168.14.7 - OK! VERSION INSTALLED and ADDED to DATABASE
192.168.108.11 - OK! VERSION 1 INSTALLED and ADDED to DATABASE
192.168.108.10 - OK! VERSION 1 INSTALLED and ADDED to DATABASE
192.168.110.10 - OK! VERSION 1 INSTALLED and ADDED to DATABASE
192.168.111.10 - OK! VERSION 1 INSTALLED and ADDED to DATABASE
192.168.111.11 - OK! VERSION 1 INSTALLED and ADDED to DATABASE
10.20.120.10 - OK! VERSION 1 INSTALLED and ADDED to DATABASE
10.20.120.11 - OK! VERSION 1 INSTALLED and ADDED to DATABASE
192.168.113.10 - OK! VERSION 1 INSTALLED and ADDED to DATABASE
192.168.113.11 - OK! VERSION 1 INSTALLED and ADDED to DATABASE
192.168.113.12 - OK! VERSION 1 INSTALLED and ADDED to DATABASE
192.168.103.12 - OK! VERSION 1 INSTALLED and ADDED to DATABASE
192.168.115.11 - OK! VERSION 1 INSTALLED and ADDED to DATABASE
10.20.121.11 - OK! VERSION 1 INSTALLED and ADDED to DATABASE
192.168.84.12 - OK! VERSION 1 INSTALLED and ADDED to DATABASE
192.168.23.12 - OK! VERSION 1 INSTALLED and ADDED to DATABASE
192.168.117.10 - OK! VERSION 1 INSTALLED and ADDED to DATABASE
192.168.117.11 - OK! VERSION 1 INSTALLED and ADDED to DATABASE
192.168.209.11 - OK! VERSION 1 INSTALLED and ADDED to DATABASE
